"reviewScope","spanish","chinese","lemma","partOfSpeech","level","scene","kind","routes","lifePlacements","frequencyRank","frameworkReference","example","exampleChinese","sourceName","sourceUrl","spellingStatus","spanishNaturalnessStatus","chineseMeaningStatus","exampleStatus","levelStatus","lifeTierStatus","decision","suggestedSpanish","suggestedChinese","suggestedExample","reviewNotes","reviewerName","reviewerRole","reviewedAt"
"exam-only:B1","alojamiento","住宿","alojamiento","noun","B1","旅行","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","El alojamiento está cerca de la estación.","住宿地点离车站很近。","HolaDone B1–B2 教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"exam-only:B2","a pesar de","尽管","a pesar de","fixed-expression","B2","基础","短语","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","A pesar de la lluvia, el vuelo salió a tiempo.","尽管下雨，航班仍准时起飞。","HolaDone B1–B2 教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"exam-only:B2","aclaración","澄清","aclaración","noun","B2","基础","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","Gracias por la aclaración.","谢谢你的澄清。","HolaDone B1–B2 教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"exam-only:B2","actualizar","更新","actualizar","verb","B2","日常","动词原形","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","Voy a actualizar la información del perfil.","我要更新个人资料信息。","HolaDone B1–B2 教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"exam-only:B2","adecuado","合适的","adecuado","adjective","B2","情绪","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_b1-b2.htm","Este horario no es adecuado para el equipo.","这个时间安排不适合团队。","HolaDone B1–B2 教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"exam-only:C1","a raíz de","由于 / 自……之后","a raíz de","fixed-expression","C1","基础","短语","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_c1-c2.htm","A raíz de la avería, cerraron el edificio.","由于发生故障，他们关闭了大楼。","HolaDone C1–C2 候选教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","","","","","","","","","","","","","",""
"exam-only:C1","agilizar","加快 / 简化","agilizar","verb","C1","日常","动词原形","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_c1-c2.htm","La plataforma pretende agilizar los trámites.","该平台旨在加快手续办理。","HolaDone C1–C2 候选教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","","","","","","","","","","","","","",""
"exam-only:C1","alcance","范围 / 影响程度","alcance","noun","C1","基础","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_c1-c2.htm","El informe analiza el alcance de la reforma.","报告分析了改革的影响范围。","HolaDone C1–C2 候选教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","","","","","","","","","","","","","",""
"exam-only:C1","alegación","申辩 / 陈述理由","alegación","noun","C1","行政","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","Presentó una alegación dentro del plazo.","他在期限内提交了申辩。","HolaDone C1–C2 候选教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","","","","","","","","","","","","","",""
"exam-only:C2","a sabiendas","明知地","a sabiendas","fixed-expression","C2","基础","短语","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_c1-c2.htm","Actuó a sabiendas de que incumplía la norma.","他明知违反规定仍采取了行动。","HolaDone C1–C2 候选教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","","","","","","","","","","","","","",""
"exam-only:C2","absorbente","过度占有的 / 费神的","absorbente","adjective","C2","情绪","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_c1-c2.htm","El proyecto resultó tan absorbente que descuidó el descanso.","这个项目过于耗费精力，以至于他忽视了休息。","HolaDone C1–C2 候选教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","","","","","","","","","","","","","",""
"exam-only:C2","acallar","压制 / 使安静","acallar","verb","C2","日常","动词原形","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_c1-c2.htm","La presión no logró acallar las críticas.","压力未能压制批评声音。","HolaDone C1–C2 候选教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","","","","","","","","","","","","","",""
"exam-only:C2","accionista","股东","accionista","noun","C2","社会","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","Cada accionista recibió el informe anual.","每位股东都收到了年度报告。","HolaDone C1–C2 候选教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_c1-c2.htm","","","","","","","","","","","","","",""
